Typ;Funktion;Klassifikation Sag (2010);Beleg;Sigle;Ort;Kreis;X;Y
wie X dass;Adverbial;Degree word;"  sein Bereich- S2:&nbsp;Ja, wie weit daß seins ging, nicht, dann mußte (PAUSE) und ";ZW8F8TRA.HTM;Weißenhaus;Oldenburg;10.766667;54.266667
wie X dass;Prädikativ;Degree word;  vierzig und fünfzig je nachdem wie stark daß der Korb ist, zieht die ab. Und ;ZW8J2TRA.HTM;Lintig;Wesermünde;8.8795166666667;53.603730555556
wie X dass;Prädikativ;Degree word;  verschieden gewesen, nicht: je nachdem wie groß, daß die Genossenschaft ist, wie viele Tierhalter o;ZW972TRA.HTM;Götting;Bad Aibling;11.943888888889;47.864166666667
wie X dass;Prädikativ;Degree word; . Da fragten sie mich denn, wie alt daß ich sei. Na, da habe ich ihnen ;ZW9A4TRA.HTM;Stukenbrock;Paderborn;8.6561111111111;51.9125
wie X dass;Adverbial;Degree word;  heute fünfundsiebzig Jahre alt sind, wie lange daß wir noch leben, wissen wir nicht. Und ;ZW9A4TRA.HTM;Stukenbrock;Paderborn;8.6561111111111;51.9125
wie X dass;Adverbial;Degree word;  dann gefischt. Dann sieht man, wie gut daß man fischt. Wenn man sie alle fischt, ;ZW9E5TRA.HTM;Zentbechhofen;Höchstadt;10.805833;49.705556
wie X dass;Adverbial;Degree word;  und werden da hineinplumpsen lassen, wie lange daß es dauert - der eine hat gezählt. Nun ;ZWB00TRA.HTM;Schweinheim;Aschaffenburg;9.16;49.9625
wie X dass;Prädikativ;Degree word;  wenn man das so beobachtet, wie fein daß denen ihr Gehörorgan , oder Gefühlsvermögen, w;ZWC18TRA.HTM;Stephanskirchen;Rosenheim;12.186111111111;47.854444444444
wie X dass;Prädikativ;Degree word;  jetzt Garsch, also Gars. Aber wie weit, daß das zurück ist, weiß ich nicht. S1:&;ZWD21TRA.HTM;Gars;Wasserburg am Inn;12.274722;4.815500
wie X dass;Prädikativ;Degree word;" 2:&nbsp;Ja, Ihr wollt wissen wie alt daß ich bin. - Das werde ich Euch gleich ";ZWG03TRA.HTM;Rhodt;Landau;8.1080555555556;49.272777777778
wie X dass;Adverbial;Degree word;  ist, man hatte sofort gemerkt wie dumm daß sie geschwätzt hatten und sie hinterher auch, ;ZWH38TRA.HTM;Rohrbach;St. Ingbert;7.161111;49.283333
wie X dass;Prädikativ;Degree word; , vierzehn, achtzehn Pfund, je nachdem wie alt daß sie sind. Wenn man sie stehen läßt - ;ZWK44TRA.HTM;Wiesau;Tirschenreuth;12.184166666667;49.908055555556
wie X dass;Adverbial;Degree word; , aber jetzt merkt man erst, wie schön daß wir's dort gehabt haben in der ;ZWL32TRA.HTM;Wörth an der Isar;Landshut;12.332777777778;48.624444444444
wie X dass;Adverbial;Degree word; , es richtet sich ganz danach, wie lange daß gedroschen wird, nicht, dann wird was gegessen;ZWL98TRA.HTM;Mardorf;Neustadt am Rübenberge;9.289167;52.488056
wie X dass;Prädikativ;Degree word;  bis auf zwei je nachdem wie groß daß die Scheuer war und ist das ausgebreitet ;ZWR43TRA.HTM;Etzean;Erbach;8.9675;49.588055555556
wie X dass;Prädikativ;Degree word;  lag es auch da dran, wie weit daß es war. Ich will mal sagen, damals ;ZWS08TRA.HTM;St. Mauritz;Münster;7.6722222222222;51.9625
wie X dass;Prädikativ;Degree word;  und danach können die feststellen , wie alt daß das ist. Wenn man die Kerle da ;ZWS11TRA.HTM;Laer;Steinfurt;7.3569444444444;52.054722222222
wie X dass;Prädikativ;Degree word;  aufeinander pressen] kann, je nachdem, wie fein daß man das haben will. Nun muß allerdings ;ZWS46TRA.HTM;Raesfeld;Borken;6.8333333333333;51.766666666667
wie X dass;Adverbial;Degree word; , seitdem weiß ich ganz genau, wie rasch daß das geht, und wie groß die Hitze ;ZWT59TRA.HTM;Oldendorf;Melle;8.3175;52.239444
wie X dass;Prädikativ;Degree word;  stehen und sich das angucken, wie fleißig, daß die sind und, und schaffen und so ;ZWV07TRA.HTM;Warmsen;Nienburg;8.8508333333333;52.454722222222
wie X dass;Prädikativ;Degree word; , damit du erst mal wußtest, wie schwer daß das war, das Geld zu verdienen. Dann ;ZWV33TRA.HTM;Bösingfeld;Lemgo;9.1255555555556;52.067777777778
wie X dass;Prädikativ;Degree word;  dann auf den Wagen laden, wie fest daß der Mist sitzt, das weiß der hundertste ;ZWV62TRA.HTM;Beelen;Warendorf;8.1180555555556;51.929166666667
wie X dass;Prädikativ;Degree word;  raus. Kommt ganz drauf an, wie gross dass es ist. Wirds raus gelangt, kriegts den ;ZWW88TRA.HTM;Berfa;Ziegenhain;9.3575;50.774167
wie X dass;Adverbial;Degree word; , Uhre (PAUSE) ja je nachdem, wie lang daß sie (PAUSE) wie lang, daß sie haben, ;ZWW91TRA.HTM;Wetzlos;Hünfeld;9.63;50.758611111111
wie X dass;Adverbial;Degree word; , wie lang daß sie (PAUSE) wie lang, daß sie haben, daß sie die Erlaubnis haben, ;ZWW91TRA.HTM;Wetzlos;Hünfeld;9.63;50.758611111111
wie X dass;Prädikativ;Degree word;  nun so die Zeit hingehen, wie lange, daß man nun noch wird da sein. Das ;ZWX02TRA.HTM;Soisdorf;Hünfeld;9.8961111111111;50.765277777778
